persian_phonetic,release/p/persian_phonetic/source/persian_phonetic.kmn,any,yes,yes,yes,phone+tablet,default|numeric|shift,21,DESIGNED
phaistos_disc,release/p/phaistos_disc/source/phaistos_disc.kmn,any,yes,yes,yes,tablet,default,0,DEFAULT_ONLY
phoenician,release/p/phoenician/source/phoenician.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
phonetic_farsi,release/p/phonetic_farsi/source/phonetic_farsi.kmn,web desktop,yes,no,no,,,0,DESKTOP_ONLY
pid_piaroa,release/p/pid_piaroa/source/pid_piaroa.kmn,desktop,no,no,no,,,0,DESKTOP_ONLY
pinyin_typer,release/p/pinyin_typer/source/pinyin_typer.kmn,any,yes,yes,yes,tablet,default|numeric|shift,20,DESIGNED
poorna_malayalam_extended_inscript,release/p/poorna_malayalam_extended_inscript/source/poorna_malayalam_extended_inscript.kmn,any,yes,yes,yes,tablet,caps|default|rightalt|rightalt-shift|shift,2,DESIGNED
poorna_malayalam_typewriter,release/p/poorna_malayalam_typewriter/source/poorna_malayalam_typewriter.kmn,any,yes,yes,yes,tablet,caps|default|rightalt|rightalt-shift|shift,2,DESIGNED
postmodern_english_uk_dualstroke,release/p/postmodern_english_uk_dualstroke/source/postmodern_english_uk_dualstroke.kmn,any,yes,yes,yes,tablet,default|emoji|numPad|numeric|shift,18,DESIGNED
postmodern_english_uk_natural,release/p/postmodern_english_uk_natural/source/postmodern_english_uk_natural.kmn,any,yes,yes,yes,tablet,default|emoji|numPad|numeric|shift,18,DESIGNED
postmodern_english_us_dualstroke,release/p/postmodern_english_us_dualstroke/source/postmodern_english_us_dualstroke.kmn,any,yes,yes,yes,tablet,default|emoji|numPad|numeric|shift,18,DESIGNED
postmodern_english_us_natural,release/p/postmodern_english_us_natural/source/postmodern_english_us_natural.kmn,any,yes,yes,yes,tablet,default|emoji|numPad|numeric|shift,18,DESIGNED
programmer_dvorak,release/p/programmer_dvorak/source/programmer_dvorak.kmn,web desktop,yes,no,no,,,0,DESKTOP_ONLY
psalter_pahlavi_phonetic,release/p/psalter_pahlavi_phonetic/source/psalter_pahlavi_phonetic.kmn,any,yes,yes,yes,tablet,default|shift,11,DESIGNED
pt_azerty,release/p/pt_azerty/source/pt_azerty.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,DESIGNED
pt_international,release/p/pt_international/source/pt_international.kmn,web desktop,yes,no,no,,,0,DESKTOP_ONLY
pt_pro,release/p/pt_pro/source/pt_pro.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,DESIGNED
pukapuka,release/p/pukapuka/source/pukapuka.kmn,any,yes,yes,yes,tablet,default|numeric|shift,29,DESIGNED
qom,release/q/qom/source/qom.kmn,any,yes,yes,yes,phone,default|numeric|shift|symbol,28,DESIGNED
quinault,release/q/quinault/source/quinault.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
qwerty_farang,release/q/qwerty_farang/source/qwerty_farang.kmn,any,yes,yes,yes,tablet,default|numeric,53,DESIGNED
rawang,release/r/rawang/source/rawang.kmn,any,yes,yes,yes,tablet,caps|default|numeric|shift,43,DESIGNED
rejang,release/r/rejang/source/rejang.kmn,any,yes,yes,yes,tablet,default|numeric,0,DESIGNED
remington_gail,release/r/remington_gail/source/remington_gail.kmn,any,yes,yes,yes,tablet,default|shift,54,DESIGNED
rohingya_arab,release/r/rohingya_arab/source/rohingya_arab.kmn,any,yes,yes,yes,tablet,default|shift,22,DESIGNED
romanian_popak,release/r/romanian_popak/source/romanian_popak.kmn,any,yes,yes,yes,tablet,default|rightalt|rightalt-shift|shift,4,DESIGNED
russian_mnemonic_r,release/r/russian_mnemonic_r/source/russian_mnemonic_r.kmn,any,yes,yes,yes,phone,capslock|default|numeric|numeric2|shift,94,DESIGNED
rac_aer,release/rac/rac_aer/source/rac_aer.kmn,any,yes,yes,yes,tablet,ctrl-alt|default|shift|symbol,4,DESIGNED
rac_arabic,release/rac/rac_arabic/source/rac_arabic.kmn,any,yes,yes,yes,tablet,ctrl|default|shift,0,DESIGNED
rac_balti,release/rac/rac_balti/source/rac_balti.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,DESIGNED
rac_brahui,release/rac/rac_brahui/source/rac_brahui.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
rac_brahui_latin,release/rac/rac_brahui_latin/source/rac_brahui_latin.kmn,any,yes,yes,yes,tablet,ctrl-alt|default|shift,0,DESIGNED
rac_burushaski,release/rac/rac_burushaski/source/rac_burushaski.kmn,any,yes,yes,yes,tablet,ctrl|default|shift,0,DESIGNED
